test_images/test_collection_memes/26,Horses for BorderAgentsWeapons for Taliban
test_images/test_collection_memes/8,"BLEEDING HEART LEFTISTS FROMMARTHA'S VINEYARD,WHO 100% SUPPORT OPENBORDERS, A MASS INFLUX OF ILLEGAL ALIENSCOMING INTO AMERICA WITHOUT BEING VETTED,PLACED IN RED STATES;AND MAJORITYCONSERVATIVE POPULATED AREAS, HAVEDEMANDED 50 ILLEGAL ALIENS BROUGHTTo THEIR PRIVILEGED RESORT TOWN BE DEPORTEDIAND THEY WEREYOU DON'TSAYIMUST BE YET ANOTHER EXAMPLE OF THATLEFTIST; ELITIST PRIVILEGE WE KEEP HEARING ABOUTcimgnip"
test_images/test_collection_memes/9,OK_ vou caught uS.Now do ILLEGAL ALIENSimgiip cO
test_images/test_collection_memes/14,oundestFellaIm THeILLEGALSCAN COME TOOUR COUNTRYUNVAXXEDITRUCKERSDELIVERING FOODYou reTO US CITIZENSCleaRLYMUST BE VAXXEDIdurderigilp comDeGimndOuncest)AliveMAN
test_images/test_collection_memes/28,Europeancountrieswith openRussiansborderstrying-tooutPutinusingmigrantsagainstLEuropeget
test_images/test_collection_memes/29,nobody issomeone shouldhelp the illegalillegallimmigrants!NONOISISOMG NooOoOOWIIIsend them to amilitary baselokay buddy: Im sendingthem toyour state soyoucanfeed and house themHUMANHUMAIBEINGBEINGILLEGALILLEGAL
test_images/test_collection_memes/15,HOMELESS US VETSILLEGAL ALIENSoivid con
test_images/test_collection_memes/17,WHERE ILLEGALS WILLBE SLEEPING.@ONE OFMAnyHOMELESSIETERANSOUR VETERANSLMILLIONS OF AMERICANimgiip-CHILDREN~HolldouInn
test_images/test_collection_memes/16,"PLEASELET US IN!BIDENPLEA SILET US INIIIDIPleaseIeT US )FOR OPPRESSED; POORASYLUM-SEETUNG REFUGEESUNCONVINCEDUS TAXPAYINGLEGAL GITIZENTHOSE ARE REALLY NICENEWPROFESSIONALLY MADE SIGNS ANDT-SHIRTSJm Mimgflip comBIDENBIDE"""
test_images/test_collection_memes/12,"5InBeAmerica""Export2025,BiggestALIENSWillWrongILLEGALMeProve"
test_images/test_collection_memes/13,"Irs none of my business;but if Democrats thoughtillegalswere goingtovote ""Republican""you would beable tosee the border wall from theInternational Space Stationimgflip com"
test_images/test_collection_memes/11,You can'tThe Januarycall the border6th protesterscrisis an invasionwere unarmed andif thosecrossing are unarmed_you called thatan insurrection.~BidelHappi~BidelBidelHarrisHarpit
test_images/test_collection_memes/10,"First it was FjanceEvenfinding middlegroundon the mattershows thatyou're nolonger made of thestuffyourancestorswere made of Itistime now to eithercommit toyourpeople or committo the invadersAid nowWOE To AMERICAItis time to commit to our principlesandvalues or succumb to wokeness Itis timeto commit toyournation,or committoanational divideThe time to pickaside is NOWI2 Chronicles 7:14Aimgflip comAngel Soto"
test_images/test_collection_memes/21,CANTCALL EMERGENCY LEVELOF BORDER CROSSINGS A CRISISIFWEARENT USING LABELS
test_images/test_collection_memes/20,BIDEN FINALLYFINDING WHOSTOBLAMFORHISRECORD-BREAMING BORDERCRISIS
test_images/test_collection_memes/22,WHO ARE YOU PEOPLE?imgflip com
test_images/test_collection_memes/23,"YOU KEEP SAYING""SANCTUARY CITY""It DOES NOT APPEAR TOMEAN WHAT YOU SAY IT MEANS:imgflip com"
test_images/test_collection_memes/27,YOU SAIDBUT NOTYOU WANTEDMIGRANTS LIVINGIN MY COMMUNITYIAN OPEN BORDERMln com
test_images/test_collection_memes/18,THE LOOK ON LIBERALS FACESWHEN THEY FIND OUT THAT 87% OFILLEGAL IMMIGRANTS ARE AVID CHRISTIANSAND WILL SUPPORT CHRISTIANVALUES OVER LIBERAL ONESimgflip com
test_images/test_collection_memes/24,"LET ME GET THIS STRAIGHTAGUY BUILDS AWALL TOKEEP EVERYONEOUTTHEMANOTHER GUY COMES ALONG AMDTAKES IT DOWN, THEN, BLAMES THE FIRSTGUY BECAUSE EVERYONE IS COMING IN_Vofcncncapp (oin"
test_images/test_collection_memes/30,Sanctuaryctu?CitycityWelcome allIcomed@ LeaLLe s White@NOVACANcV
test_images/test_collection_memes/19,Chuck SchumerisSenator =foramnesty forpushnglegaaaliens becaioremillions ofthehis partyMY MINDImgip CominvasionsupportsCHANGE
test_images/test_collection_memes/4,Ibet if those cargo shipswere full of *illegalsBiden'speople wouldhave emptied them intothe USA alreadyimgiip com
test_images/test_collection_memes/5,"California Makes History: First StateGiving Food Stamps to Illegal AliensWill be first state in the nation to providetaxpayer-funded health insurance, tooWhat About Americans?WEEBT CardIt's basic mathYoucan't havea welfare stateandanopen_borderimgilip comACCEPT:FoodStampsLLEGALAliensperst"
test_images/test_collection_memes/7,RENEMBER IN2019AMA NAVARRO FLED HERNAILS ROLED HEREVES AND SIGHED ONAVVESEGMENT ON CHRIS CUOMO S SHOW ABOUT HOWCRIMESARE COMMMEDBY ILLEGALRUENS ON AMERICAN CMQENSPEPPERIDGEFARMREMEMBERSumomidcom
test_images/test_collection_memes/6,"Wrtiacuear#MUNUSWashington, DC remalnsproud sanctuary cityand we Jre commlttedprotecling the rightsour immigrant familiesacE af thesedisturbirg threats. #DCValuesFull statcment: blt lyfourdcwalucsRMgicaGreatDOESNT TAKE LONG FORALJAEL4DEMOCRATS TO CHANGE THEIR VIEWS6oa20 3 6Jm ""abirujn_Txiliur(odl70 4TalVart SuijavbsUSANCEuECzBREAKING=DC @MayurBowseequusts@DCNationalGuard activated indefinitelyhalpmigrant busses arriving in DC , Calling numanitarian crisis'thar has reached'tippingwith _~OOO rlgrants s0far Requesting DCArmary0e UsedcessingCentar@nbcivashingtan~ORPMaedtFimneWHEN THEY GET A TASTE1.310 D.gtc TwetOF THEIR OWN MEDICINEaNz;UBEnCIMazePurpoint"""
test_images/test_collection_memes/2,openis anCorporate needs you to find the differencesbetween this picture and this picture.ingfllip comThey're the same picture_Biden'sIllegalaliensborderpouringoverpolicyAmerica'sbordersinvasion
test_images/test_collection_memes/25,AND JUST LIKE THATWALLS ARENT RACIST ANYMOREDimgflipcom
test_images/test_collection_memes/3,"ITS COMPLETELY UNACCEPTABLE THATMANY AMERICANS ARE LIVING LIKE THISHomeKtp""{'Vf!{WHILE THE GOVERNMENT GIVESILLEGAL INVADERS FREE HOTELimgiipRR@OMS AND MONEY AT TAXPAYER EXPENSE"
test_images/test_collection_memes/1,STOP COMPARING CURRENT ILLEGALIMMIGRANTS TO HOLOCAUST REFUGEESIM PRETTY SURE THEY ARENT BEINGLOADED INTO TRAIN CARS AND TAKENTO GAS CHAMBERS IN THIER HOME COUNTRYimgflip com
